time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,oil_rate_m3_day,water_rate_m3_day,cumulative_oil_m3,cumulative_water_m3,recovery_factor,water_cut
20.0,20.0,2,6.551670822273359e-08,223.2027868420121,252.10603657029228,0.199863132234417,0.2422708032931717,15.335862048270155,0.023097182852468368,306.7172409654031,0.4619436570493673,0.0017952695651744827,0.0015038247387013956
40.0,20.0,2,1.1639923200723752e-09,220.56734626566526,253.54419819946148,0.19985554813586792,0.28291480139569736,14.113897634152458,0.021346103057331558,588.9951936484523,0.8888657181959985,0.003447491708855029,0.001510133355616629
60.0,20.0,2,5.346186372445365e-09,219.81702015778575,253.4532789417623,0.19985915150998648,0.3206977158561251,13.76614810181697,0.020844851440600953,864.3181556847917,1.3057627470080175,0.005059005077916936,0.001511921527143144
80.0,20.0,2,5.874764562371983e-09,219.46408384539865,253.15898504719465,0.19986594064262697,0.3547932279574343,13.602599440169627,0.020608578368269154,1136.3701444881842,1.7179343143734007,0.006651372869524095,0.0015127551704580784
100.0,20.0,2,3.6001690510359297e-09,219.23450568517546,252.88588935393642,0.1998743528912722,0.3848937810848964,13.496223358414754,0.020454687238511432,1406.2946116564794,2.1270280591436292,0.008231287905528998,0.0015132924798108446
120.0,20.0,2,1.330482836057215e-09,219.0661248557686,252.665125324249,0.19988537467131826,0.4111375926600068,13.418208229521824,0.020341701773612775,1674.658776246916,2.533862094615885,0.00980207021811191,0.0015136827914923629
140.0,20.0,2,1.5551170870617233e-10,218.93838944525913,252.49532653531742,0.1998883221877459,0.4339201260681766,13.359028251802547,0.020255907892027098,1941.8393412829669,2.938980252456427,0.011365924715842763,0.0015139754601407247
160.0,20.0,2,4.1412348399922124e-10,218.8406224013647,252.36909338060087,0.1998908458522514,0.45372496082462715,13.313734805544284,0.020190177492743416,2208.1140373938524,3.342783802311295,0.012924477004587034,0.001514196121429263
180.0,20.0,2,7.985531639463173e-10,218.76563253140495,252.27725237093526,0.19989331378312658,0.4710230943569588,13.27899516732965,0.020139705073476146,2473.693940740445,3.745577903780818,0.014478962549968877,0.0015143620443513063
200.0,20.0,2,1.0951388185203066e-09,218.70811547963515,252.210565692083,0.1998962505982641,0.48622936945960543,13.252351253793119,0.020100942641442816,2738.740965816308,4.1475967566096745,0.0160303290657899,0.0015144859701843657
220.0,20.0,2,1.162906619185976e-09,218.66403375972652,252.16128826094325,0.1999004934217297,0.4996917068652586,13.231932183561492,0.02007118745486588,3003.379609487538,4.549020505706992,0.017579305253944917,0.0015145775995472394
240.0,20.0,2,9.77461930235252e-10,218.6302661851021,252.1241199974035,0.19990744874245947,0.5116952025536422,13.216291744860362,0.020048348838313426,3267.705444384745,4.949987482473261,0.019126450517728173,0.0015146444331585053
260.0,20.0,2,6.657888416721332e-10,218.60438485177778,252.09613281572484,0.19990853861811647,0.5224712995073254,13.204305007009284,0.02003079970818763,3531.791544524931,5.350603476637013,0.020672192572120135,0.001514692306740481
280.0,20.0,2,3.6634879602333537e-10,218.5845105157513,252.0758953930509,0.1999091689195704,0.5322075732601813,13.195101279236154,0.020017280211275874,3795.693570109654,5.75094908086253,0.02221685720599897,0.0015147257378909863
300.0,20.0,2,1.4716414323973248e-10,218.5692102315101,252.0624129988135,0.1999099196838478,0.5410564451564048,13.188016664749453,0.020006829438753516,4059.453903404643,6.151085669637601,0.023760692490166067,0.0015147481716364997
320.0,20.0,2,1.6443121848875426e-10,218.55741099073074,252.05441659158677,0.19991098164773843,0.5491423922949118,13.182554037163676,0.01999872770992052,4323.104984147916,6.551060223836011,0.02530388830007213,0.0015147621877436206
340.0,20.0,2,3.3273266977015665e-10,218.54831687075287,252.05021720321946,0.19991266055053517,0.5565677173648534,13.17834464883801,0.019992441111346994,4586.671877124676,6.95090904606295,0.026846591344281343,0.0015147696997806946
360.0,20.0,2,4.6431009263542753e-10,218.54132993302574,252.04803146508533,0.19991546390927492,0.5634170951858051,13.175111480059545,0.019987568493187367,4850.174106725867,7.350660415926697,0.028388915902462918,0.0015147721452973592
380.0,20.0,2,5.062396803085715e-10,218.5359833065635,252.04647819509526,0.19992024170851283,0.5697611293751634,13.172638235375524,0.019983796607993928,5113.626871433377,7.7503363480865755,0.02993095093398505,0.0015147706467710687
400.0,20.0,2,4.5422822486901346e-10,218.5318959502136,252.04490756547983,0.19992285002302235,0.5756591243995999,13.170748384433411,0.019980869777916684,5377.0418391220455,8.14995374364491,0.03147276473295642,0.0015147661204203328
420.0,20.0,2,3.448409048212491e-10,218.52875207848476,252.04337527929593,0.1999230341679096,0.5811612437942439,13.169295629551927,0.01997857610176016,5640.427751713084,8.549525265680112,0.03301440846736826,0.0015147593256645
440.0,20.0,2,2.2170016592566707e-10,218.52629873939298,252.04230996850976,0.1999233439883321,0.5863101953090759,13.168162783075013,0.019976745836783195,5903.791007374584,8.949060182415776,0.034555919586815524,0.0015147508708858457
460.0,20.0,2,1.1331496507388424e-10,218.5243492855829,252.04208154713263,0.19992387876054774,0.5911425570553979,13.16726337515917,0.019975253731383133,6167.136274877767,9.348565257043438,0.03609732541843138,0.001514741205002647
480.0,20.0,2,8.748431409457597e-11,218.52278142467492,252.04269195302743,0.19992479893493564,0.5956898335704882,13.166540750369712,0.01997401771798786,6430.467089885162,9.748045611403196,0.037638646657065934,0.0015147306220993585
500.0,20.0,2,1.7682097187928724e-10,218.52152430652998,252.0437176203646,0.19992636783944778,0.5999793077889785,13.165962085407424,0.01997299024831948,6693.78633159331,10.147505416369585,0.03917990015515926,0.0015147192924674863
520.0,20.0,2,2.673590429299054e-10,218.52053639362123,252.0445006575713,0.19992901982214523,0.604034735455371,13.16550813689878,0.019972143443771788,6957.096494331286,10.546948285245021,0.04072110051245495,0.001514707315860695
540.0,20.0,2,3.163075244212454e-10,218.51978177451858,252.04446540146694,0.1999334692996667,0.6078769133205615,13.16516226793446,0.01997145320150612,7220.399739689975,10.946377349275144,0.04226226038112188,0.0015146947785210235
560.0,20.0,2,3.105664295500396e-10,218.51921442187302,252.04338112397843,0.19993580321558352,0.611524142404227,13.164903155123085,0.0199708886319041,7483.697802792437,11.345795121913225,0.04380338991713828,0.0015146817910910043
580.0,20.0,2,2.611172109943434e-10,218.51877625540607,252.04143456203002,0.19993591505564814,0.6149926030379698,13.164703891199796,0.01997041075945182,7746.991880616433,11.74520333710226,0.04534449612662397,0.0015146684932887732
600.0,20.0,2,1.9041636842402325e-10,218.51840772241843,252.03909101369936,0.1999361465411948,0.6182966577316088,13.164536886732995,0.0199699796225488,8010.282618351093,12.144602929553237,0.046885582785983586,0.0015146550284340589
