time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,oil_rate_m3_day,water_prod_rate_m3_day,water_inj_rate_m3_day,cumulative_oil_m3,cumulative_water_prod_m3,cumulative_water_inj_m3,recovery_factor,water_cut,oil_mb_error_m3,water_mb_error_m3,oil_mb_error_relative,water_mb_error_relative
10.0,10.0,2,2.754674620415239e-09,229.73651264177144,271.8943234941908,0.19484225762214022,0.213281339760149,33.36029347783647,0.013367329237423736,17.28,333.60293477836467,0.13367329237423736,172.8,0.0013103235478211918,0.0004005352998191434,1.5169253401836613e-05,-3.4990264226597567e-06,5.95816998687336e-11,-4.8005650500403015e-11
23.5,13.5,2,5.788339249317972e-10,219.01738541580974,275.42006926259523,0.1947899580523699,0.2379783691807531,26.7915065219837,0.011043529005331102,17.28,695.2882728251445,0.28276093394620727,406.08000000000004,0.002730948985841467,0.0004120327724161302,1.63038660048187e-05,-4.23348271272328e-06,6.403822424652377e-11,-5.789699959744449e-11
41.725,18.225,2,9.826089032611642e-10,213.35305515672002,274.50541412539445,0.1948115554868764,0.2707040288501257,23.327411614980765,0.00975933831364853,17.28,1120.430349508169,0.4606248747124517,721.008,0.004400819410145355,0.0004181885770636155,1.7734927951096324e-05,-5.3540725695189195e-06,6.965914052486582e-11,-7.290832242381778e-11
66.32875,24.60375,2,4.098821657190527e-09,209.73537167464477,271.0314543116352,0.19488845851583836,0.31242128063439045,21.11752251859243,0.008918473265065813,17.28,1640.0005941749873,0.6800527613078147,1146.1608,0.006441584209730992,0.00042214745344486325,1.029213626679848e-05,6.382002710747514e-07,4.042538929320341e-11,8.640602917081929e-12
90.9325,24.60375,2,1.1131328357627825e-08,207.47641637376984,267.49358413641494,0.194954146334581,0.35030355746764813,19.7386222124809,0.00838519104651895,17.28,2125.6447204353144,0.8863599055186053,1571.3136000000002,0.008349094210872697,0.0004246309769966005,-8.813952263153624e-06,1.599020596887435e-05,-3.461938728882873e-11,2.1525320675084242e-10
115.53625,24.60375,2,9.821349764172807e-09,205.82784881281745,264.39953826294305,0.19500800533231255,0.38356345994238006,18.732802030586427,0.007991976348577108,17.28,2586.541898395355,1.0829924936049093,1996.4664000000002,0.010159403301248668,0.0004264481187733929,-2.4530965674784966e-05,2.864580685413287e-05,-9.635257554259601e-11,3.834240024345845e-10
148.7513125,33.2150625,2,1.490385881725897e-08,204.20293532491297,261.1247052432373,0.19506730960716737,0.42024831641055166,17.74181851775907,0.007601058193062317,17.28,3175.83750932638,1.3354621165536114,2570.4226800000006,0.012474034964017467,0.00042824263410622387,-4.540496820482076e-05,4.549838926637406e-05,-1.7834135382045093e-10,6.043548907930203e-10
183.7513125,35.0,2,7.697316951745426e-10,202.93162306186014,258.51417256902346,0.19512489184466572,0.4511961444099275,16.96676565090462,0.007292881166010727,17.28,3769.674307108042,1.5907129573639869,3175.2226800000008,0.014806503472464493,0.00042964864014293484,-4.638673271983862e-05,4.634723304852706e-05,-1.8219752242189867e-10,6.107258493770566e-10
218.75131249999998,35.0,2,6.47003209914974e-09,201.97896646835315,256.568721514427,0.19516343430210906,0.47616335790441594,16.386142229320313,0.007060599120707619,17.28,4343.189285134253,1.8378339265887536,3780.022680000001,0.017059152062726936,0.00043070284645401873,-5.151727600605227e-05,5.051326894145447e-05,-2.02349238669563e-10,6.603618138607744e-10
253.75131249999998,35.0,2,1.351929933205934e-08,201.26340135064945,255.1224443424461,0.19518933501253205,0.4966197650350862,15.950112387356874,0.006885356264263065,17.28,4901.443218691744,2.0788213958379607,4384.822680000001,0.01925185841673479,0.00043149446875215036,-6.793014108552597e-05,6.374437850587e-05,-2.668155888086424e-10,8.26798059310993e-10
288.7513125,35.0,2,1.3953470424504242e-08,200.7257969722217,254.03953269884184,0.19521028650315378,0.5136720201841029,15.622575039522191,0.006753253318058777,17.28,5448.23334507502,2.3151852619700177,4989.622680000001,0.02139953729969226,0.00043208851919454674,-8.467697898595361e-05,7.724804769093652e-05,-3.3259371533218e-10,9.941520874570821e-10
323.7513125,35.0,2,8.05834283962945e-09,200.32191817731635,253.2270993971222,0.19523030073807043,0.5281226842608631,15.376540284943546,0.006653751959243683,17.28,5986.412255048044,2.5480665805435465,5594.4226800000015,0.0235133930999924,0.00043253383811463203,-9.267856694350485e-05,8.373568658592845e-05,-3.6402230311635985e-10,1.069325524437282e-09
358.7513125,35.0,2,2.7661490429501974e-09,200.0183929739774,252.62532590635024,0.1952536422395244,0.5405514175973565,15.19165617009499,0.00657882032956071,17.28,6518.120221001369,2.778325292078171,6199.222680000002,0.025601832366318463,0.0004328673910954535,-9.476168270339258e-05,8.544922920972198e-05,-3.72204352338534e-10,1.0828477570911414e-09
393.7513125,35.0,2,1.618380434265836e-09,199.79016483996918,252.18790613228984,0.19526185719000846,0.5513807302012323,15.052647415385987,0.006522382432864797,17.28,7044.962880539879,3.006608677228439,6804.022680000002,0.02767116171214298,0.000433116999172789,-9.764457718119957e-05,8.780453289292112e-05,-3.8352776747174873e-10,1.1042351668315625e-09
428.7513125,35.0,2,5.34553170981346e-09,199.61859794857375,251.87152401841823,0.1952684652951277,0.5609230872509979,14.948155989746898,0.006479894426822082,17.28,7568.14834018102,3.2334049821672117,7408.822680000002,0.02972612633078728,0.00043330339013333407,-0.0001051897033903515,9.390565965006203e-05,-4.131634676184004e-10,1.1720520225848302e-09
463.7513125,35.0,2,7.1943730790444e-09,199.4897873379144,251.6387221042837,0.19527461044375874,0.5694136099671595,14.869708882269624,0.006447951915233258,17.28,8088.588151060457,3.4590832992003757,8013.622680000002,0.03177030660717482,0.00043344205006067856,-0.00011471076413727133,0.00010160806648995546,-4.5056023124463627e-10,1.258689225478275e-09
498.7513125,35.0,2,5.675106775200973e-09,199.3931606020563,251.46499424590874,0.1952823382601857,0.5770325339604616,14.810864793336016,0.006423957983501465,17.28,8606.968418827217,3.683921828622927,8618.422680000001,0.03380639742283839,0.00043354476593630506,-0.0001212387051054975,0.00010690517113554066,-4.762006374812788e-10,1.3144637159301209e-09
533.7513124999999,35.0,2,2.99641635529533e-09,199.3205817004276,251.33870569645345,0.19529604308908574,0.5839204002388583,14.766667395679226,0.006405909147625241,17.28,9123.80177767599,3.9081286487898104,9223.22268,0.035836412299203285,0.0004336206160658675,-0.00012388358845782932,0.00010906890648021417,-4.865891939851449e-10,1.3311727115569549e-09
568.7513124999999,35.0,2,9.207847850981065e-10,199.2658926482078,251.25319879464593,0.19530106300772274,0.5901882921751403,14.73336568500528,0.006392286289520336,17.28,9639.469576651174,4.131858668923022,9828.02268,0.03786184909669194,0.0004336764756903815,-0.0001253978680324508,0.00011031713977782687,-4.925369719503761e-10,1.336545174417576e-09
603.7513124999999,35.0,2,2.082993320751843e-09,199.22461239449152,251.19935931858632,0.19530284770387452,0.5959249851348872,14.708230286259235,0.006381982633098978,17.28,10154.257636670247,4.355228061081486,10432.82268,0.0398838304609396,0.0004337173495621704,-0.0001290772434003884,0.0001133038798952768,-5.069887998070012e-10,1.3627491878335052e-09
638.7513124999999,35.0,2,4.329858270412587e-09,199.19355105682456,251.1650301501133,0.19530487681205386,0.601202257679097,14.689318345988095,0.006374209635138738,17.28,10668.383778779831,4.578325398311342,11037.622679999999,0.041903211948108525,0.000433746801044751,-0.0001355334770778427,0.00011854956711143672,-5.323475545896142e-10,1.4155479523738664e-09
673.7513124999999,35.0,2,4.781826564980226e-09,199.17032033803866,251.14038505224332,0.19530814759523893,0.6060789749321394,14.675175282661522,0.006368376468802964,17.28,11182.014913672985,4.801218574719446,11642.422679999998,0.04392064914898854,0.0004337674986133032,-0.00014197625932865776,0.0001237795987840684,-5.576534749417121e-10,1.4674042738688064e-09
708.7513124999999,35.0,2,3.438016830810992e-09,199.1529546009565,251.12233058222563,0.19531492525290953,0.6106041024236589,14.664603974393769,0.006363996535390105,17.28,11695.276052776768,5.0239584534581,12247.222679999997,0.04593663308269113,0.0004337816392211136,-0.00014585476310458034,0.00012694257994638747,-5.728874381299591e-10,1.4941920947633394e-09
743.7513124999999,35.0,2,1.7590154705734019e-09,199.13981610724898,251.11283672019414,0.19532618549795108,0.6148187543106105,14.656607022922584,0.006360664206356735,17.28,12208.257298579058,5.2465817006805855,12852.022679999996,0.04795151765321195,0.00043379105390378003,-0.0001474772325309459,0.0001282821950416846,-5.792601635269919e-10,1.499290862879935e-09
778.7513125,35.0,2,5.909891265269636e-10,199.12969750234817,251.11334959028747,0.19532668843068826,0.6187575795048089,14.650449148295692,0.006358080363706412,17.28,12721.023018769407,5.46911451341031,13456.822679999996,0.04996555568356468,0.0004337970926760944,-0.00014906014621374197,0.00012958070066471095,-5.854775221186183e-10,1.503840986071175e-09
813.7513125,35.0,2,2.0452568451805122e-09,199.12187790025897,251.12098855172033,0.1953274121774676,0.6224498567548865,14.645691332701523,0.006356066387702124,17.28,13233.62221541396,5.691576836979884,14061.622679999995,0.05197893964376221,0.0004338005614216904,-0.00015270668700395618,0.0001325451357203633,-5.998003825235563e-10,1.5275268367509615e-09
848.7513125,35.0,2,3.605960688246135e-09,199.11597257499662,251.1299398338152,0.19532880141986844,0.6259205228817316,14.642099279073182,0.006354526945786024,17.28,13746.09569018152,5.913985280082395,14666.422679999994,0.053991829794347405,0.00043380188994247186,-0.00015822814202692825,0.00013703025315159323,-6.214875194776797e-10,1.5682888693000411e-09
883.7513125,35.0,2,3.69192956840524e-09,199.111650621277,251.13627419073737,0.19533191590269175,0.6291911207594829,14.639471469000929,0.006353380026109419,17.28,14258.477191596554,6.136353580996224,15271.222679999993,0.05600435869256631,0.0004338014479622492,-0.00016326940385624766,0.0001411321575188751,-6.412885565701082e-10,1.6041350158341846e-09
900.0,16.24868749999993,2,7.146337526771665e-11,199.1100343984249,251.135595932087,0.19533390949664978,0.630668689819406,14.63848915927368,0.006352944312373829,17.28,14496.333427417729,6.239580587832888,15551.999999999993,0.056938608947288014,0.00043380080627965223,-0.00016336111366399564,0.00014120765960790038,-6.416487737868366e-10,1.5998892279357528e-09
